,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
0,7,004,16,2021,F,1,0,0,0,0,0,0
1,42,001,20,2021,M,1,0,0,0,0,0,0
2,17,007,2,2014,M,1,0,0,0,0,0,0
3,14,008,15,2022,M,0,1,0,0,0,0,0
4,15,008,18,2014,M,0,1,0,0,0,0,0
5,10,004,19,2014,F,0,0,1,0,0,0,0
6,24,015,21,2014,M,1,0,0,0,0,0,0
7,27,011,23,2021,F,1,0,0,0,0,0,0
8,7,004,9,2014,M,1,0,0,0,0,0,0
9,18,008,12,2014,O,1,0,0,0,0,0,0
10,19,022,3,2014,F,1,0,0,0,0,0,0
11,37,025,26,2014,F,1,0,0,0,0,0,0
12,28,015,15,2022,F,1,0,0,0,0,0,0
13,50,024,30,2021,O,1,0,0,0,0,0,0
14,9,005,4,2014,F,1,0,0,0,0,0,0
15,19,022,13,2016,F,1,0,0,0,0,0,0
16,20,003,3,2016,F,1,0,0,0,0,0,0
17,2,018,18,2022,M,1,0,0,0,0,0,0
18,6,007,6,2014,F,1,0,0,0,0,0,0
19,6,003,10,2014,F,1,0,0,0,0,0,0
20,27,012,27,2014,F,0,1,0,0,0,0,0
21,27,012,14,2014,O,0,1,0,0,0,0,0
22,21,022,30,2021,M,1,0,0,0,0,0,0
23,32,014,18,2014,M,0,0,0,1,0,0,0
24,2,001,24,2014,F,1,0,0,0,0,0,0
25,24,010,23,2021,F,0,1,0,0,0,0,0
26,27,012,10,2014,F,1,0,0,0,0,0,0
27,31,025,11,2014,M,0,1,0,0,0,0,0
28,10,004,18,2014,F,1,0,0,0,0,0,0
29,28,011,17,2021,F,1,0,0,0,0,0,0
30,28,011,31,2021,F,1,0,0,0,0,0,0
31,7,004,31,2021,F,1,0,0,0,0,0,0
32,28,011,31,2021,F,1,0,0,0,0,0,0
33,28,011,31,2021,F,1,0,0,0,0,0,0
34,28,011,31,2021,F,1,0,0,0,0,0,0
35,13,008,24,2014,F,0,1,0,0,0,0,0
36,13,008,10,2014,F,0,1,0,0,0,0,0
37,13,008,7,2014,F,0,1,0,0,0,0,0
38,15,008,11,2014,F,0,1,0,0,0,0,0
39,28,011,31,2021,F,1,0,0,0,0,0,0
40,17,007,31,2021,F,1,0,0,0,0,0,0
41,37,025,3,2014,M,1,0,0,0,0,0,0
42,7,004,3,2014,F,1,0,0,0,0,0,0
43,31,025,1,2014,M,0,0,0,1,0,0,0
44,31,025,23,2014,F,0,1,0,0,0,0,0
45,9,005,31,2021,M,1,0,0,0,0,0,0
46,24,011,31,2021,F,0,1,0,0,0,0,0
47,16,007,31,2021,F,1,0,0,0,0,0,0
48,37,011,31,2021,F,1,0,0,0,0,0,0
49,21,006,31,2021,F,1,0,0,0,0,0,0
50,21,006,24,2021,M,1,0,0,0,0,0,0
51,29,015,1,2021,F,1,0,0,0,0,0,0
52,44,019,24,2021,F,0,0,0,1,0,0,0
53,43,018,9,2014,F,0,0,0,1,0,0,0
54,37,015,1,2021,F,1,0,0,0,0,0,0
