,ward,district,date_day,date_year,charge_1_type,race_WHITE HISPANIC,race_BLACK,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_AMER INDIAN / ALASKAN NATIVE,race_UNKNOWN / REFUSED
0,14,008,30,2021,M,1,0,0,0,0,0,0
1,22,010,23,2021,M,0,1,0,0,0,0,0
2,7,004,16,2021,F,0,1,0,0,0,0,0
3,24,011,16,2021,F,0,1,0,0,0,0,0
4,13,008,16,2021,M,0,0,1,0,0,0,0
5,42,001,20,2021,M,0,1,0,0,0,0,0
6,14,008,15,2022,M,1,0,0,0,0,0,0
7,11,012,23,2021,M,0,0,0,1,0,0,0
8,48,024,29,2022,M,1,0,0,0,0,0,0
9,23,008,30,2021,M,0,0,0,1,0,0,0
10,48,024,31,2021,M,1,0,0,0,0,0,0
11,41,016,29,2022,M,0,1,0,0,0,0,0
12,42,001,18,2022,M,0,1,0,0,0,0,0
13,26,025,31,2021,M,1,0,0,0,0,0,0
14,20,003,31,2021,M,0,1,0,0,0,0,0
15,27,011,23,2021,F,0,1,0,0,0,0,0
16,27,011,30,2021,F,0,1,0,0,0,0,0
17,34,022,31,2021,M,0,1,0,0,0,0,0
18,34,022,31,2021,M,0,1,0,0,0,0,0
19,37,015,30,2021,F,0,1,0,0,0,0,0
20,47,019,30,2021,M,0,0,0,1,0,0,0
21,28,011,18,2022,F,0,1,0,0,0,0,0
22,4,002,27,2021,M,0,1,0,0,0,0,0
23,43,019,31,2021,M,0,1,0,0,0,0,0
24,17,006,18,2022,M,0,1,0,0,0,0,0
25,13,008,30,2021,M,0,1,0,0,0,0,0
26,32,014,31,2021,M,0,0,0,1,0,0,0
27,27,012,27,2021,M,0,1,0,0,0,0,0
28,12,009,23,2021,M,0,0,0,1,0,0,0
29,28,011,23,2021,F,0,1,0,0,0,0,0
30,28,015,15,2022,F,0,1,0,0,0,0,0
31,49,024,18,2022,M,1,0,0,0,0,0,0
32,17,006,18,2022,M,0,1,0,0,0,0,0
33,20,003,16,2021,F,0,1,0,0,0,0,0
34,15,009,30,2021,M,1,0,0,0,0,0,0
35,15,009,30,2021,M,1,0,0,0,0,0,0
36,21,022,16,2021,F,0,1,0,0,0,0,0
37,4,001,23,2021,F,0,1,0,0,0,0,0
38,28,011,23,2021,M,0,1,0,0,0,0,0
39,28,011,23,2021,F,0,1,0,0,0,0,0
40,28,011,23,2021,F,0,1,0,0,0,0,0
41,20,003,23,2021,M,0,1,0,0,0,0,0
42,41,016,30,2021,M,0,0,0,1,0,0,0
43,25,001,23,2021,M,0,1,0,0,0,0,0
44,42,001,23,2021,M,1,0,0,0,0,0,0
45,17,006,23,2021,M,0,1,0,0,0,0,0
46,6,003,30,2021,F,0,1,0,0,0,0,0
47,17,006,23,2021,F,0,1,0,0,0,0,0
48,17,006,23,2021,F,0,1,0,0,0,0,0
49,36,025,23,2021,M,1,0,0,0,0,0,0
50,15,009,23,2021,M,0,1,0,0,0,0,0
51,8,006,23,2021,F,0,1,0,0,0,0,0
52,28,011,23,2021,M,0,1,0,0,0,0,0
53,28,011,23,2021,M,0,1,0,0,0,0,0
54,6,007,30,2021,F,0,1,0,0,0,0,0
55,6,007,29,2021,M,0,1,0,0,0,0,0
56,21,022,30,2021,M,0,1,0,0,0,0,0
57,28,011,30,2021,F,0,1,0,0,0,0,0
58,28,011,30,2021,F,1,0,0,0,0,0,0
59,28,011,30,2021,F,0,1,0,0,0,0,0
60,28,011,30,2021,F,0,1,0,0,0,0,0
61,17,007,30,2021,F,0,1,0,0,0,0,0
62,17,007,30,2021,F,0,1,0,0,0,0,0
63,28,011,30,2021,F,0,1,0,0,0,0,0
64,27,011,30,2021,F,0,1,0,0,0,0,0
65,21,006,30,2021,F,0,1,0,0,0,0,0
66,50,024,30,2021,O,0,1,0,0,0,0,0
67,44,019,30,2021,M,0,1,0,0,0,0,0
68,15,009,18,2022,M,1,0,0,0,0,0,0
69,9,005,30,2021,F,0,1,0,0,0,0,0
70,15,009,30,2021,F,1,0,0,0,0,0,0
71,28,011,30,2021,F,0,1,0,0,0,0,0
72,6,007,30,2021,F,0,1,0,0,0,0,0
73,17,007,30,2021,M,0,1,0,0,0,0,0
74,11,009,30,2021,M,1,0,0,0,0,0,0
75,28,011,18,2022,M,0,1,0,0,0,0,0
76,21,006,30,2021,F,0,1,0,0,0,0,0
77,21,006,30,2021,F,0,1,0,0,0,0,0
78,21,006,30,2021,F,0,1,0,0,0,0,0
79,21,006,30,2021,F,0,1,0,0,0,0,0
80,21,006,30,2021,F,0,1,0,0,0,0,0
81,21,006,30,2021,F,0,1,0,0,0,0,0
82,21,006,30,2021,F,0,1,0,0,0,0,0
83,21,006,30,2021,F,0,1,0,0,0,0,0
84,21,006,30,2021,F,0,1,0,0,0,0,0
85,21,006,30,2021,F,0,1,0,0,0,0,0
86,7,003,30,2021,M,0,1,0,0,0,0,0
87,26,025,30,2021,F,1,0,0,0,0,0,0
88,28,011,30,2021,F,0,1,0,0,0,0,0
89,20,003,18,2022,M,0,1,0,0,0,0,0
90,29,015,30,2021,F,0,1,0,0,0,0,0
91,27,012,30,2021,M,0,1,0,0,0,0,0
92,27,011,27,2021,F,0,1,0,0,0,0,0
93,27,011,27,2021,F,0,1,0,0,0,0,0
94,37,025,30,2021,M,0,1,0,0,0,0,0
95,3,002,30,2021,M,0,1,0,0,0,0,0
96,22,010,30,2021,M,1,0,0,0,0,0,0
97,20,003,30,2021,M,0,1,0,0,0,0,0
98,5,003,30,2021,F,0,1,0,0,0,0,0
99,2,018,30,2021,M,0,1,0,0,0,0,0
100,28,011,30,2021,F,0,1,0,0,0,0,0
101,17,007,30,2021,F,0,1,0,0,0,0,0
102,15,009,30,2021,M,1,0,0,0,0,0,0
103,2,018,18,2022,M,0,1,0,0,0,0,0
104,28,011,30,2021,F,0,1,0,0,0,0,0
105,26,025,30,2021,M,1,0,0,0,0,0,0
106,26,014,30,2021,M,1,0,0,0,0,0,0
107,49,024,30,2021,M,0,1,0,0,0,0,0
108,28,015,30,2021,M,0,1,0,0,0,0,0
109,17,007,30,2021,F,0,1,0,0,0,0,0
110,10,004,30,2021,M,0,1,0,0,0,0,0
111,16,007,30,2021,F,0,1,0,0,0,0,0
112,42,018,30,2021,F,0,1,0,0,0,0,0
113,17,006,30,2021,M,0,1,0,0,0,0,0
114,17,006,30,2021,M,0,1,0,0,0,0,0
115,27,011,30,2021,M,0,1,0,0,0,0,0
116,28,012,30,2021,F,1,0,0,0,0,0,0
117,34,022,30,2021,F,0,1,0,0,0,0,0
118,21,006,30,2021,F,0,1,0,0,0,0,0
119,11,009,30,2021,F,0,1,0,0,0,0,0
120,17,007,30,2021,F,0,1,0,0,0,0,0
121,5,003,30,2021,M,0,1,0,0,0,0,0
122,28,011,30,2021,F,0,1,0,0,0,0,0
123,19,022,30,2021,M,0,1,0,0,0,0,0
124,7,004,30,2021,M,0,1,0,0,0,0,0
125,26,014,30,2021,M,1,0,0,0,0,0,0
126,37,025,27,2021,F,0,1,0,0,0,0,0
127,21,022,30,2021,M,0,1,0,0,0,0,0
128,24,010,30,2021,M,1,0,0,0,0,0,0
129,45,016,30,2021,M,0,0,0,1,0,0,0
130,39,017,30,2021,M,0,0,0,1,0,0,0
131,6,006,30,2021,M,0,1,0,0,0,0,0
132,6,006,30,2021,F,0,1,0,0,0,0,0
133,16,008,30,2021,F,1,0,0,0,0,0,0
134,7,004,30,2021,M,0,1,0,0,0,0,0
135,42,018,30,2021,M,1,0,0,0,0,0,0
136,28,011,27,2021,M,0,1,0,0,0,0,0
137,24,010,30,2021,F,1,0,0,0,0,0,0
138,27,018,27,2021,M,0,1,0,0,0,0,0
139,38,016,30,2021,M,0,0,0,1,0,0,0
140,17,006,30,2021,F,0,1,0,0,0,0,0
141,9,005,30,2021,M,0,1,0,0,0,0,0
142,49,024,30,2021,M,0,1,0,0,0,0,0
143,49,024,30,2021,M,0,1,0,0,0,0,0
144,17,007,23,2021,F,0,1,0,0,0,0,0
145,26,014,23,2021,M,0,1,0,0,0,0,0
146,20,009,23,2021,F,0,1,0,0,0,0,0
147,41,016,23,2021,F,1,0,0,0,0,0,0
148,6,006,23,2021,M,0,1,0,0,0,0,0
149,46,019,23,2021,M,0,1,0,0,0,0,0
150,6,007,23,2021,F,0,1,0,0,0,0,0
151,7,004,23,2021,M,0,1,0,0,0,0,0
152,34,005,23,2021,M,0,1,0,0,0,0,0
153,29,015,23,2021,F,0,1,0,0,0,0,0
154,3,002,23,2021,F,0,1,0,0,0,0,0
155,17,007,23,2021,M,0,1,0,0,0,0,0
156,37,015,23,2021,M,0,1,0,0,0,0,0
157,21,022,23,2021,F,0,1,0,0,0,0,0
158,24,011,23,2021,F,0,1,0,0,0,0,0
159,46,019,23,2021,M,1,0,0,0,0,0,0
160,40,024,23,2021,F,0,1,0,0,0,0,0
161,5,003,27,2021,M,0,1,0,0,0,0,0
162,41,016,23,2021,F,0,1,0,0,0,0,0
163,50,024,23,2021,M,0,0,0,0,1,0,0
164,28,011,23,2021,F,0,1,0,0,0,0,0
165,2,018,23,2021,F,0,1,0,0,0,0,0
166,37,015,23,2021,M,0,1,0,0,0,0,0
167,29,025,23,2021,F,0,1,0,0,0,0,0
168,29,025,24,2021,F,0,1,0,0,0,0,0
169,40,020,23,2021,M,0,0,1,0,0,0,0
170,17,006,31,2021,M,0,1,0,0,0,0,0
171,37,011,23,2021,M,0,1,0,0,0,0,0
172,21,006,23,2021,M,0,1,0,0,0,0,0
173,29,015,31,2021,F,0,1,0,0,0,0,0
174,34,005,23,2021,F,0,1,0,0,0,0,0
175,28,011,23,2021,F,0,1,0,0,0,0,0
176,49,024,23,2021,M,0,1,0,0,0,0,0
177,49,024,23,2021,O,0,1,0,0,0,0,0
178,37,025,23,2021,F,0,1,0,0,0,0,0
179,24,010,23,2021,F,1,0,0,0,0,0,0
180,7,004,23,2021,F,0,1,0,0,0,0,0
181,12,009,23,2021,F,0,1,0,0,0,0,0
182,4,002,23,2021,M,0,1,0,0,0,0,0
183,6,007,23,2021,M,0,1,0,0,0,0,0
